#MMo    logLLo  logTe     G   G_BP    G_RP
0.1000000000   -3.13150  3.42889   14.4138  17.0359  12.9934
0.1003515964   -3.12579  3.42972   14.3907  17.0003  12.9722
0.1007031929   -3.12009  3.43054   14.3676  16.9642  12.9511
0.1010547893   -3.11442  3.43136   14.3445  16.9279  12.9300
0.1014063858   -3.10876  3.43218   14.3214  16.8911  12.9089
0.1017579822   -3.10312  3.43300   14.2983  16.8539  12.8879
0.1021095787   -3.09750  3.43381   14.2752  16.8164  12.8670
0.1024611751   -3.09190  3.43462   14.2521  16.7787  12.8461
0.1028127715   -3.08631  3.43543   14.2290  16.7406  12.8253
0.1031643680   -3.08077  3.43623   14.2060  16.7026  12.8047
0.1035159644   -3.07525  3.43703   14.1831  16.6644  12.7841
0.1038675609   -3.06975  3.43783   14.1602  16.6261  12.7635
0.1042191573   -3.06426  3.43862   14.1374  16.5876  12.7431
0.1045707537   -3.05879  3.43941   14.1145  16.5491  12.7227
0.1049223502   -3.05333  3.44021   14.0917  16.5105  12.7023
0.1052739466   -3.04788  3.44099   14.0690  16.4719  12.6820
0.1056255431   -3.04246  3.44178   14.0463  16.4333  12.6618
0.1059771395   -3.03704  3.44256   14.0236  16.3948  12.6416
0.1063287360   -3.03165  3.44334   14.0010  16.3564  12.6215
0.1066803324   -3.02628  3.44412   13.9785  16.3183  12.6015
0.1070319288   -3.02094  3.44489   13.9561  16.2803  12.5816
0.1073835253   -3.01561  3.44567   13.9338  16.2425  12.5618
0.1077351217   -3.01029  3.44644   13.9115  16.2049  12.5421
0.1080867182   -3.00498  3.44721   13.8893  16.1676  12.5224
0.1084383146   -2.99969  3.44797   13.8671  16.1305  12.5027
0.1087899110   -2.99441  3.44874   13.8451  16.0937  12.4832
0.1091415075   -2.98916  3.44950   13.8231  16.0572  12.4637
0.1094931039   -2.98393  3.45026   13.8012  16.0210  12.4443
0.1098447004   -2.97870  3.45101   13.7794  15.9851  12.4250
0.1101962968   -2.97349  3.45177   13.7577  15.9494  12.4058
0.1105478933   -2.96829  3.45252   13.7360  15.9139  12.3866
0.1108994897   -2.96311  3.45327   13.7144  15.8786  12.3674
0.1112510861   -2.95794  3.45402   13.6928  15.8437  12.3484
0.1116026826   -2.95279  3.45477   13.6714  15.8089  12.3294
0.1119542790   -2.94765  3.45551   13.6500  15.7743  12.3105
0.1123058755   -2.94252  3.45626   13.6287  15.7400  12.2917
0.1126574719   -2.93740  3.45700   13.6074  15.7058  12.2728
0.1130090683   -2.93231  3.45774   13.5862  15.6718  12.2541
0.1133606648   -2.92722  3.45848   13.5651  15.6381  12.2355
0.1137122612   -2.92214  3.45921   13.5440  15.6044  12.2169
0.1140638577   -2.91707  3.45995   13.5229  15.5710  12.1983
0.1144154541   -2.91202  3.46068   13.5020  15.5377  12.1799
0.1147670506   -2.90698  3.46141   13.4811  15.5046  12.1614
0.1151186470   -2.90194  3.46214   13.4602  15.4716  12.1431
0.1154702434   -2.89692  3.46287   13.4394  15.4388  12.1248
0.1158218399   -2.89191  3.46360   13.4187  15.4061  12.1065
0.1161734363   -2.88690  3.46433   13.3980  15.3736  12.0883
0.1165250328   -2.88191  3.46505   13.3774  15.3411  12.0702
0.1168766292   -2.87692  3.46578   13.3568  15.3089  12.0521
0.1172282257   -2.87195  3.46650   13.3363  15.2768  12.0341
0.1175798221   -2.86698  3.46722   13.3158  15.2448  12.0161
0.1179314185   -2.86202  3.46794   13.2954  15.2129  11.9982
0.1182830150   -2.85706  3.46866   13.2751  15.1812  11.9803
0.1186346114   -2.85212  3.46938   13.2548  15.1497  11.9625
0.1189862079   -2.84718  3.47010   13.2345  15.1183  11.9448
0.1193378043   -2.84224  3.47081   13.2143  15.0870  11.9271
0.1196894007   -2.83732  3.47153   13.1942  15.0558  11.9095
0.1200409972   -2.83259  3.47220   13.1751  15.0265  11.8927
0.1203925936   -2.82931  3.47251   13.1635  15.0101  11.8822
0.1207441901   -2.82604  3.47283   13.1519  14.9937  11.8717
0.1210957865   -2.82278  3.47314   13.1404  14.9773  11.8613
0.1214473830   -2.81953  3.47346   13.1288  14.9611  11.8509
0.1217989794   -2.81629  3.47377   13.1174  14.9449  11.8405
0.1221505758   -2.81305  3.47408   13.1060  14.9288  11.8302
0.1225021723   -2.80983  3.47439   13.0946  14.9127  11.8199
0.1228537687   -2.80661  3.47470   13.0832  14.8967  11.8097
0.1232053652   -2.80341  3.47501   13.0719  14.8808  11.7995
0.1235569616   -2.80021  3.47532   13.0606  14.8650  11.7893
0.1239085580   -2.79702  3.47562   13.0494  14.8492  11.7791
0.1242601545   -2.79384  3.47593   13.0382  14.8335  11.7690
0.1246117509   -2.79067  3.47623   13.0271  14.8178  11.7590
0.1249633474   -2.78750  3.47654   13.0159  14.8022  11.7489
0.1253149438   -2.78435  3.47684   13.0049  14.7867  11.7389
0.1256665403   -2.78120  3.47715   12.9938  14.7712  11.7289
0.1260181367   -2.77806  3.47745   12.9828  14.7558  11.7190
0.1263697331   -2.77493  3.47775   12.9718  14.7405  11.7091
0.1267213296   -2.77180  3.47805   12.9609  14.7252  11.6992
0.1270729260   -2.76869  3.47835   12.9500  14.7100  11.6894
0.1274245225   -2.76558  3.47865   12.9391  14.6949  11.6796
0.1277761189   -2.76248  3.47895   12.9283  14.6798  11.6698
0.1281277153   -2.75939  3.47924   12.9175  14.6648  11.6601
0.1284793118   -2.75630  3.47954   12.9067  14.6498  11.6504
0.1288309082   -2.75322  3.47984   12.8960  14.6349  11.6407
0.1291825047   -2.75015  3.48013   12.8853  14.6200  11.6310
0.1295341011   -2.74708  3.48043   12.8746  14.6052  11.6214
0.1298856976   -2.74402  3.48072   12.8640  14.5905  11.6118
0.1302372940   -2.74097  3.48102   12.8534  14.5758  11.6022
0.1305888904   -2.73793  3.48131   12.8428  14.5612  11.5927
0.1309404869   -2.73489  3.48160   12.8323  14.5466  11.5832
0.1312920833   -2.73186  3.48189   12.8217  14.5321  11.5737
0.1316436798   -2.72884  3.48218   12.8113  14.5176  11.5643
0.1319952762   -2.72582  3.48247   12.8008  14.5032  11.5548
0.1323468727   -2.72281  3.48276   12.7904  14.4888  11.5454
0.1326984691   -2.71981  3.48305   12.7800  14.4745  11.5361
0.1330500655   -2.71681  3.48334   12.7696  14.4602  11.5267
0.1334016620   -2.71382  3.48363   12.7593  14.4460  11.5174
0.1337532584   -2.71084  3.48392   12.7490  14.4319  11.5081
0.1341048549   -2.70786  3.48420   12.7387  14.4178  11.4988
0.1344564513   -2.70489  3.48449   12.7284  14.4037  11.4896
0.1348080477   -2.70192  3.48477   12.7182  14.3897  11.4803
0.1381027315   -2.67423  3.48742   12.6230  14.2600  11.3945
0.1413974152   -2.64718  3.49000   12.5305  14.1349  11.3110
0.1446920990   -2.62075  3.49253   12.4403  14.0139  11.2295
0.1479867827   -2.59492  3.49499   12.3524  13.8968  11.1500
0.1512814664   -2.57132  3.49704   12.2742  13.7950  11.0787
0.1545761502   -2.55079  3.49850   12.2095  13.7139  11.0188
0.1578708339   -2.53068  3.49992   12.1462  13.6349  10.9603
0.1611655176   -2.51092  3.50131   12.0841  13.5577  10.9029
0.1644602014   -2.49127  3.50268   12.0226  13.4816  10.8461
0.1677548851   -2.47196  3.50403   11.9624  13.4072  10.7904
0.1710495688   -2.45298  3.50535   11.9033  13.3345  10.7358
0.1743442526   -2.43432  3.50665   11.8455  13.2635  10.6823
0.1776389363   -2.41597  3.50792   11.7887  13.1940  10.6299
0.1809336200   -2.39823  3.50911   11.7343  13.1278  10.5795
0.1842283038   -2.38159  3.51014   11.6841  13.0676  10.5327
0.1875229875   -2.36521  3.51115   11.6347  13.0086  10.4868
0.1908176712   -2.34909  3.51214   11.5863  12.9507  10.4416
0.1941123550   -2.33322  3.51312   11.5386  12.8939  10.3972
0.1974070387   -2.31759  3.51407   11.4917  12.8382  10.3534
0.2007017225   -2.30232  3.51500   11.4461  12.7842  10.3108
0.2039964062   -2.28779  3.51583   11.4031  12.7337  10.2704
0.2072910899   -2.27347  3.51666   11.3608  12.6841  10.2306
0.2105857737   -2.25936  3.51746   11.3191  12.6353  10.1914
0.2138804574   -2.24545  3.51826   11.2780  12.5874  10.1527
0.2171751411   -2.23173  3.51905   11.2376  12.5403  10.1145
0.2204698249   -2.21820  3.51982   11.1978  12.4940  10.0769
0.2237645086   -2.20475  3.52058   11.1583  12.4482  10.0395
0.2270591923   -2.19140  3.52134   11.1191  12.4029  10.0023
0.2303538761   -2.17823  3.52208   11.0805  12.3584   9.9657
0.2336485598   -2.16524  3.52281   11.0426  12.3147   9.9296
0.2369432435   -2.15242  3.52353   11.0051  12.2717   9.8940
0.2402379273   -2.13977  3.52424   10.9683  12.2294   9.8589
0.2435326110   -2.12729  3.52495   10.9319  12.1879   9.8243
0.2468272948   -2.11496  3.52564   10.8961  12.1470   9.7902
0.2501219785   -2.10281  3.52632   10.8609  12.1069   9.7566
0.2534166622   -2.09120  3.52694   10.8275  12.0691   9.7246
0.2567113460   -2.07974  3.52755   10.7946  12.0320   9.6932
0.2600060297   -2.06843  3.52815   10.7622  11.9954   9.6621
0.2633007134   -2.05725  3.52875   10.7302  11.9594   9.6315
0.2665953972   -2.04620  3.52934   10.6986  11.9240   9.6013
0.2698900809   -2.03523  3.52992   10.6673  11.8889   9.5714
0.2731847646   -2.02439  3.53050   10.6364  11.8544   9.5418
0.2764794484   -2.01368  3.53107   10.6060  11.8204   9.5127
0.2797741321   -2.00310  3.53163   10.5760  11.7870   9.4840
0.2830688158   -1.99266  3.53219   10.5464  11.7540   9.4557
0.2863634996   -1.98233  3.53274   10.5172  11.7216   9.4278
0.2896581833   -1.97213  3.53328   10.4884  11.6896   9.4003
0.2929528671   -1.96204  3.53381   10.4599  11.6581   9.3731
0.2962475508   -1.95207  3.53434   10.4318  11.6270   9.3463
0.2995422345   -1.94220  3.53487   10.4041  11.5963   9.3197
0.3028369183   -1.93246  3.53540   10.3766  11.5659   9.2935
0.3061316020   -1.92292  3.53593   10.3496  11.5360   9.2679
0.3094262857   -1.91358  3.53646   10.3232  11.5068   9.2428
0.3127209695   -1.90443  3.53697   10.2973  11.4781   9.2182
0.3160156532   -1.89535  3.53748   10.2717  11.4497   9.1939
0.3193103369   -1.88643  3.53799   10.2465  11.4218   9.1700
0.3226050207   -1.87766  3.53848   10.2217  11.3944   9.1465
0.3258997044   -1.86905  3.53897   10.1974  11.3674   9.1234
0.3291943881   -1.86060  3.53946   10.1735  11.3409   9.1008
0.3324890719   -1.85231  3.53994   10.1500  11.3149   9.0786
0.3357837556   -1.84416  3.54041   10.1269  11.2892   9.0568
0.3390784394   -1.83578  3.54089   10.1033  11.2631   9.0345
0.3423731231   -1.82739  3.54135   10.0797  11.2370   9.0121
0.3456678068   -1.81907  3.54181   10.0563  11.2111   8.9900
0.3489624906   -1.81083  3.54227   10.0332  11.1854   8.9681
0.3522571743   -1.80107  3.54283   10.0056  11.1548   8.9421
