#    MMo    logLLo  logTe     G   G_BP    G_RP
0.1000000000    -2.91577  3.45106   13.6204  15.8056  12.2694
0.1009855297    -2.90646  3.45205   13.5856  15.7528  12.2379
0.1019710593    -2.89754  3.45305   13.5517  15.7012  12.2074
0.1029565890    -2.88900  3.45405   13.5188  15.6507  12.1778
0.1039421187    -2.88087  3.45506   13.4868  15.6013  12.1491
0.1049276483    -2.87314  3.45607   13.4558  15.5531  12.1215
0.1059131780    -2.86584  3.45709   13.4258  15.5061  12.0948
0.1068987077    -2.85896  3.45812   13.3969  15.4602  12.0693
0.1078842373    -2.85254  3.45915   13.3690  15.4154  12.0448
0.1088697670    -2.84657  3.46019   13.3423  15.3719  12.0214
0.1098552967    -2.84108  3.46124   13.3166  15.3295  11.9992
0.1108408263    -2.83609  3.46231   13.2922  15.2883  11.9782
0.1118263560    -2.83161  3.46338   13.2689  15.2484  11.9584
0.1128118857    -2.82767  3.46446   13.2469  15.2097  11.9399
0.1137974154    -2.82429  3.46556   13.2262  15.1722  11.9228
0.1147829450    -2.82149  3.46668   13.2069  15.1362  11.9071
0.1157684747    -2.81931  3.46781   13.1890  15.1014  11.8928
0.1167540044    -2.81777  3.46896   13.1726  15.0682  11.8801
0.1177395340    -2.81691  3.47013   13.1577  15.0364  11.8691
0.1187250637    -2.81677  3.47133   13.1445  15.0061  11.8598
0.1197105934    -2.81738  3.47254   13.1331  14.9775  11.8523
0.1206961230    -2.81613  3.47326   13.1223  14.9565  11.8438
0.1216816527    -2.81070  3.47393   13.1016  14.9261  11.8254
0.1226671824    -2.79924  3.47487   13.0628  14.8729  11.7901
0.1236527120    -2.78839  3.47580   13.0258  14.8221  11.7564
0.1246382417    -2.77812  3.47670   12.9907  14.7737  11.7245
0.1256237714    -2.76846  3.47757   12.9573  14.7275  11.6942
0.1266093010    -2.75939  3.47843   12.9258  14.6837  11.6657
0.1275948307    -2.75093  3.47926   12.8961  14.6421  11.6389
0.1285803604    -2.74308  3.48008   12.8681  14.6028  11.6139
0.1295658900    -2.73584  3.48087   12.8420  14.5658  11.5905
0.1305514197    -2.72921  3.48163   12.8177  14.5310  11.5689
0.1315369494    -2.72142  3.48243   12.7902  14.4928  11.5442
0.1325224790    -2.71368  3.48321   12.7630  14.4550  11.5198
0.1335080087    -2.70619  3.48399   12.7366  14.4182  11.4961
0.1344935384    -2.69895  3.48475   12.7110  14.3825  11.4732
0.1354790680    -2.69197  3.48550   12.6862  14.3479  11.4510
0.1364645977    -2.68473  3.48625   12.6607  14.3126  11.4281
0.1374501274    -2.67698  3.48702   12.6339  14.2759  11.4040
0.1384356570    -2.66935  3.48778   12.6074  14.2397  11.3801
0.1394211867    -2.66182  3.48853   12.5813  14.2041  11.3566
0.1404067164    -2.65419  3.48928   12.5550  14.1683  11.3329
0.1413922461    -2.64645  3.49003   12.5284  14.1324  11.3090
0.1423777757    -2.63878  3.49078   12.5021  14.0968  11.2852
0.1433633054    -2.63113  3.49152   12.4758  14.0615  11.2615
0.1443488351    -2.62346  3.49226   12.4496  14.0263  11.2379
0.1453343647    -2.61586  3.49300   12.4236  13.9915  11.2144
0.1463198944    -2.60828  3.49373   12.3977  13.9569  11.1910
0.1473054241    -2.60074  3.49446   12.3720  13.9227  11.1677
0.1482909537    -2.59324  3.49518   12.3464  13.8887  11.1446
0.1492764834    -2.58577  3.49590   12.3210  13.8550  11.1216
0.1502620131    -2.57865  3.49654   12.2972  13.8238  11.1000
0.1512475427    -2.57241  3.49698   12.2775  13.7991  11.0818
0.1522330724    -2.56626  3.49742   12.2581  13.7747  11.0638
0.1532186021    -2.56018  3.49785   12.2389  13.7506  11.0461
0.1542041317    -2.55417  3.49828   12.2199  13.7268  11.0285
0.1551896614    -2.54821  3.49870   12.2011  13.7032  11.0111
0.1561751911    -2.54231  3.49913   12.1824  13.6799  10.9939
0.1571607207    -2.53646  3.49955   12.1639  13.6568  10.9768
0.1581462504    -2.53065  3.49997   12.1456  13.6338  10.9599
0.1591317801    -2.52488  3.50038   12.1274  13.6111  10.9431
0.1601173097    -2.51913  3.50080   12.1092  13.5885  10.9263
0.1611028394    -2.51343  3.50121   12.0913  13.5660  10.9097
0.1620883691    -2.50776  3.50161   12.0734  13.5438  10.8932
0.1630738987    -2.50212  3.50202   12.0557  13.5217  10.8769
0.1640594284    -2.49652  3.50242   12.0380  13.4998  10.8606
0.1650449581    -2.49094  3.50282   12.0205  13.4780  10.8444
0.1660304877    -2.48539  3.50322   12.0031  13.4564  10.8283
0.1670160174    -2.47988  3.50362   11.9858  13.4350  10.8124
0.1680015471    -2.47440  3.50401   11.9686  13.4137  10.7965
0.1689870768    -2.46895  3.50440   11.9515  13.3925  10.7807
0.1699726064    -2.46353  3.50479   11.9345  13.3715  10.7651
0.1709581361    -2.45813  3.50518   11.9177  13.3507  10.7495
0.1719436658    -2.45277  3.50556   11.9009  13.3300  10.7340
0.1729291954    -2.44744  3.50595   11.8842  13.3094  10.7187
0.1739147251    -2.44213  3.50633   11.8677  13.2890  10.7034
0.1749002548    -2.43686  3.50671   11.8512  13.2687  10.6882
0.1758857844    -2.43161  3.50708   11.8349  13.2485  10.6731
0.1768713141    -2.42639  3.50746   11.8186  13.2285  10.6582
0.1778568438    -2.42120  3.50783   11.8024  13.2087  10.6433
0.1788423734    -2.41603  3.50820   11.7864  13.1889  10.6284
0.1798279031    -2.41090  3.50857   11.7704  13.1693  10.6137
0.1808134328    -2.40607  3.50888   11.7556  13.1514  10.6001
0.1817989624    -2.40133  3.50919   11.7412  13.1340  10.5867
0.1827844921    -2.39661  3.50949   11.7269  13.1167  10.5733
0.1837700218    -2.39192  3.50980   11.7126  13.0995  10.5601
0.1847555514    -2.38725  3.51010   11.6984  13.0824  10.5469
0.1857410811    -2.38261  3.51039   11.6843  13.0654  10.5338
