#MMo    logLLo  logTe     G   G_BP    G_RP
00.1000000000   -2.08546  3.48876   11.1555  12.7559   9.9311
00.1158172694   -1.99667  3.49502   10.8812  12.4212   9.6746
00.1316345388   -1.91866  3.50075   10.6391  12.1266   9.4489
00.1474518082   -1.84955  3.50566   10.4274  11.8714   9.2515
00.1632690776   -1.78738  3.51015   10.2377  11.6431   9.0752
00.1790863471   -1.73089  3.51423   10.0665  11.4380   8.9159
00.1949036165   -1.67911  3.51792    9.9109  11.2529   8.7704
00.2107208859   -1.63168  3.52122    9.7697  11.0863   8.6375
00.2265381553   -1.58770  3.52428    9.6394  10.9335   8.5145
00.2423554247   -1.54647  3.52716    9.5177  10.7914   8.3994
00.2581726941   -1.50800  3.52987    9.4044  10.6596   8.2924
00.2739899635   -1.47202  3.53242    9.2987  10.5372   8.1929
00.2898072329   -1.43797  3.53484    9.1988  10.4221   8.0995
00.3056245023   -1.40571  3.53721    9.1038  10.3124   8.0110
00.3214417718   -1.37508  3.53960    9.0128  10.2067   7.9269
00.3372590412   -1.34588  3.54186    8.9259  10.1057   7.8469
00.3530763106   -1.31803  3.54404    8.8427  10.0086   7.7705
00.3688935800   -1.29155  3.54620    8.7626   9.9144   7.6975
00.3847108494   -1.26617  3.54826    8.6858   9.8237   7.6275
00.4005281188   -1.24180  3.55022    8.6118   9.7361   7.5602
00.4163453882   -1.21787  3.55231    8.5380   9.6476   7.4935
00.4321626576   -1.19479  3.55432    8.4666   9.5620   7.4292
00.4479799270   -1.17250  3.55624    8.3977   9.4792   7.3670
00.4637971965   -1.15012  3.55839    8.3270   9.3929   7.3037
00.4796144659   -1.12833  3.56049    8.2579   9.3087   7.2421
00.4954317353   -1.10720  3.56252    8.1911   9.2273   7.1823
00.5112490047   -1.08596  3.56464    8.1235   9.1447   7.1221
00.5270662741   -1.06495  3.56677    8.0566   9.0629   7.0626
00.5428835435   -1.04444  3.56884    7.9916   8.9838   7.0047
00.5587008129   -1.02308  3.57146    7.9211   8.8960   6.9431
00.5745180823   -1.00079  3.57454    7.8459   8.8013   6.8782
00.5903353517   -0.97855  3.57760    7.7717   8.7088   6.8140
00.6061526212   -0.95688  3.58034    7.7016   8.6233   6.7527
00.6219698906   -0.93643  3.58253    7.6383   8.5482   6.6963
00.6377871600   -0.91639  3.58467    7.5765   8.4752   6.6411
00.6536044294   -0.89585  3.58727    7.5110   8.3963   6.5837
00.6694216988   -0.87258  3.59150    7.4291   8.2923   6.5151
00.6852389682   -0.84905  3.59574    7.3458   8.1858   6.4455
00.7010562376   -0.82536  3.59989    7.2628   8.0804   6.3759
00.7168735070   -0.80292  3.60260    7.1920   7.9958   6.3136
00.7326907765   -0.77985  3.60541    7.1198   7.9106   6.2501
00.7485080459   -0.75605  3.60833    7.0457   7.8236   6.1847
00.7643253153   -0.73069  3.61167    6.9656   7.7291   6.1146
00.7801425847   -0.70432  3.61523    6.8815   7.6291   6.0414
00.7959598541   -0.67690  3.61901    6.7931   7.5233   5.9648
00.8117771235   -0.64782  3.62327    6.6980   7.4086   5.8830
00.8275943929   -0.61750  3.62788    6.5985   7.2890   5.7975
00.8434116623   -0.58485  3.63301    6.4916   7.1610   5.7055
00.8592289317   -0.55031  3.63865    6.3786   7.0264   5.6083
00.8750462012   -0.51393  3.64478    6.2579   6.8820   5.5049
00.8908634706   -0.47593  3.65138    6.1301   6.7282   5.3964
00.9066807400   -0.43652  3.65842    6.0028   6.5773   5.2874
00.9224980094   -0.39641  3.66570    5.8755   6.4277   5.1782
00.9383152788   -0.35574  3.67309    5.7450   6.2736   5.0669
00.9541325482   -0.31405  3.68066    5.6149   6.1215   4.9552
00.9699498176   -0.27121  3.68844    5.4849   5.9707   4.8430
00.9857670870   -0.22782  3.69627    5.3523   5.8166   4.7290
01.0015843564   -0.18309  3.70426    5.2209   5.6659   4.6153
01.0174016259   -0.13651  3.71210    5.0877   5.5148   4.4988
01.0332188953   -0.08864  3.72002    4.9513   5.3598   4.3796
01.0490361647   -0.03967  3.72798    4.8154   5.2066   4.2608
01.0648534341    0.01066  3.73601    4.6768   5.0504   4.1393
01.0806707035    0.06173  3.74403    4.5384   4.8948   4.0181
01.0964879729    0.11389  3.75209    4.4000   4.7398   3.8971
01.1123052423    0.16814  3.75985    4.2568   4.5804   3.7708
01.1281225117    0.22066  3.76745    4.1202   4.4286   3.6508
01.1439397811    0.26906  3.77484    3.9943   4.2877   3.5413
01.1597570506    0.30954  3.78178    3.8898   4.1698   3.4523
01.1755743200    0.34064  3.78803    3.8104   4.0787   3.3868
01.1913915894    0.36123  3.79347    3.7574   4.0154   3.3459
01.2072088588    0.36961  3.79764    3.7359   3.9862   3.3336
01.2230261282    0.37002  3.80071    3.7348   3.9797   3.3393
01.2388433976    0.36871  3.80314    3.7382   3.9789   3.3480
01.2546606670    0.36709  3.80488    3.7425   3.9802   3.3560
01.2704779364    0.36662  3.80641    3.7438   3.9788   3.3607
01.2862952058    0.37285  3.80790    3.7282   3.9605   3.3484
01.3021124753    0.38163  3.80941    3.7063   3.9358   3.3299
01.3179297447    0.39760  3.81111    3.6663   3.8927   3.2938
01.3337470141    0.41770  3.81308    3.6160   3.8389   3.2481
01.3495642835    0.44389  3.81571    3.5508   3.7691   3.1890
01.3653815529    0.47707  3.81930    3.4683   3.6805   3.1149
01.3811988223    0.50447  3.82245    3.4003   3.6069   3.0542
01.3970160917    0.53513  3.82628    3.3241   3.5240   2.9870
01.4128333611    0.56658  3.83096    3.2464   3.4384   2.9203
01.4286506305    0.59767  3.83622    3.1701   3.3535   2.8564
01.4444679000    0.63029  3.84230    3.0904   3.2637   2.7911
01.4602851694    0.66390  3.84921    3.0091   3.1714   2.7261
01.4761024388    0.69605  3.85651    2.9320   3.0829   2.6665
01.4919197082    0.72386  3.86347    2.8662   3.0063   2.6173
01.5077369776    0.74483  3.86961    2.8175   2.9486   2.5834
01.5235542470    0.76124  3.87498    2.7799   2.9030   2.5589
01.5393715164    0.77661  3.87984    2.7455   2.8615   2.5361
01.5551887858    0.79187  3.88431    2.7110   2.8205   2.5125
01.5710060552    0.80767  3.88854    2.6750   2.7784   2.4869
01.5868233247    0.82417  3.89266    2.6376   2.7352   2.4598
01.6026405941    0.84123  3.89670    2.5991   2.6909   2.4313
01.6184578635    0.85828  3.90058    2.5602   2.6465   2.4023
01.6342751329    0.87573  3.90447    2.5210   2.6018   2.3730
01.6500924023    0.89342  3.90837    2.4822   2.5575   2.3440
01.6659096717    0.91118  3.91225    2.4430   2.5128   2.3148
01.7117039304    0.96093  3.92314    2.3366   2.3915   2.2359
01.7574981891    1.00822  3.93326    2.2388   2.2808   2.1626
01.8032924477    1.05426  3.94308    2.1480   2.1784   2.0932
01.8490867064    1.09845  3.95220    2.0633   2.0846   2.0261
01.8948809651    1.14151  3.96107    1.9854   1.9988   1.9632
01.9406752238    1.18298  3.96938    1.9122   1.9187   1.9029
01.9864694824    1.22351  3.97740    1.8428   1.8432   1.8453
02.0322637411    1.26283  3.98503    1.7771   1.7724   1.7894
02.0780579998    1.30116  3.99240    1.7136   1.7042   1.7350
02.1238522585    1.33850  3.99949    1.6525   1.6387   1.6821
02.1696465171    1.37493  4.00629    1.5930   1.5754   1.6298
02.2154407758    1.41056  4.01287    1.5350   1.5140   1.5782
02.2612350345    1.44531  4.01920    1.4782   1.4541   1.5276
02.3070292932    1.47930  4.02539    1.4232   1.3961   1.4782
02.3528235518    1.51235  4.03138    1.3700   1.3401   1.4302
02.3986178105    1.54480  4.03724    1.3179   1.2854   1.3829
02.4444120692    1.57661  4.04292    1.2667   1.2318   1.3361
02.4902063279    1.60793  4.04847    1.2163   1.1790   1.2897
02.5360005865    1.63867  4.05382    1.1664   1.1270   1.2436
02.5817948452    1.66886  4.05905    1.1174   1.0761   1.1982
02.6275891039    1.69847  4.06411    1.0692   1.0260   1.1535
02.6733833626    1.72751  4.06905    1.0220   0.9771   1.1095
02.7191776212    1.75610  4.07390    0.9757   0.9289   1.0663
02.7649718799    1.78424  4.07866    0.9301   0.8817   1.0236
02.8107661386    1.81186  4.08331    0.8853   0.8353   0.9817
02.8565603973    1.83890  4.08776    0.8412   0.7896   0.9402
02.9023546560    1.86551  4.09215    0.7978   0.7448   0.8995
02.9481489146    1.89174  4.09644    0.7551   0.7007   0.8593
02.9939431733    1.91758  4.10067    0.7131   0.6573   0.8198
03.0397374320    1.94281  4.10477    0.6721   0.6150   0.7812
03.0855316907    1.96765  4.10879    0.6318   0.5734   0.7432
03.1313259493    1.99215  4.11275    0.5921   0.5324   0.7057
03.1771202080    2.01632  4.11665    0.5531   0.4921   0.6688
03.2229144667    2.04016  4.12049    0.5146   0.4524   0.6325
03.2687087254    2.06370  4.12427    0.4767   0.4133   0.5967
03.3145029840    2.08694  4.12800    0.4393   0.3747   0.5614
03.3602972427    2.10988  4.13167    0.4024   0.3367   0.5266
03.4060915014    2.13255  4.13529    0.3661   0.2993   0.4922
03.4518857601    2.15493  4.13886    0.3302   0.2623   0.4583
03.4976800187    2.17705  4.14238    0.2948   0.2258   0.4249
03.5434742774    2.19859  4.14580    0.2603   0.1903   0.3923
03.5892685361    2.21987  4.14916    0.2262   0.1552   0.3601
03.6350627948    2.24090  4.15248    0.1926   0.1206   0.3284
03.6808570534    2.26169  4.15576    0.1594   0.0864   0.2970
03.7266513121    2.28226  4.15899    0.1266   0.0526   0.2660
03.7724455708    2.30259  4.16218    0.0941   0.0192   0.2353
03.8182398295    2.32272  4.16534    0.0620  -0.0139   0.2049
03.8640340881    2.34263  4.16845    0.0303  -0.0466   0.1749
03.9098283468    2.36233  4.17153   -0.0011  -0.0789   0.1452
03.9556226055    2.38183  4.17456   -0.0323  -0.1109   0.1158
04.0014168642    2.40113  4.17756   -0.0630  -0.1426   0.0867
04.0472111228    2.42002  4.18045   -0.0934  -0.1739   0.0579
04.0930053815    2.43872  4.18330   -0.1236  -0.2048   0.0294
04.1387996402    2.45725  4.18611   -0.1534  -0.2355   0.0011
04.1845938989    2.47560  4.18890   -0.1830  -0.2659  -0.0269
04.2303881575    2.49378  4.19165   -0.2123  -0.2961  -0.0547
04.2761824162    2.51179  4.19438   -0.2413  -0.3259  -0.0822
04.3219766749    2.52964  4.19707   -0.2701  -0.3555  -0.1095
04.3677709336    2.54734  4.19974   -0.2987  -0.3849  -0.1366
04.4135651922    2.56488  4.20238   -0.3270  -0.4140  -0.1634
04.4593594509    2.58226  4.20499   -0.3552  -0.4429  -0.1900
04.5051537096    2.59948  4.20757   -0.3830  -0.4715  -0.2165
04.5509479683    2.61636  4.21006   -0.4106  -0.4998  -0.2426
04.5967422269    2.63311  4.21252   -0.4380  -0.5279  -0.2686
04.6425364856    2.64972  4.21496   -0.4652  -0.5559  -0.2944
04.6883307443    2.66620  4.21737   -0.4922  -0.5836  -0.3200
04.7341250030    2.68254  4.21976   -0.5190  -0.6111  -0.3454
04.7799192616    2.69876  4.22212   -0.5456  -0.6384  -0.3707
04.8257135203    2.71485  4.22447   -0.5721  -0.6656  -0.3959
04.8715077790    2.73082  4.22678   -0.5984  -0.6926  -0.4208
04.9173020377    2.74668  4.22908   -0.6245  -0.7194  -0.4457
04.9630962963    2.76243  4.23135   -0.6505  -0.7461  -0.4704
05.0088905550    2.77799  4.23360   -0.6763  -0.7725  -0.4948
05.0546848137    2.79316  4.23580   -0.7013  -0.7981  -0.5185
05.1004790724    2.80822  4.23798   -0.7261  -0.8236  -0.5421
05.1462733310    2.82318  4.24014   -0.7509  -0.8490  -0.5656
05.1920675897    2.83804  4.24228   -0.7755  -0.8742  -0.5890
05.2378618484    2.85279  4.24440   -0.7999  -0.8993  -0.6123
05.2836561071    2.86745  4.24650   -0.8243  -0.9242  -0.6354
05.3294503657    2.88202  4.24858   -0.8485  -0.9491  -0.6585
05.3752446244    2.89650  4.25064   -0.8727  -0.9738  -0.6814
05.4210388831    2.91088  4.25268   -0.8967  -0.9985  -0.7043
05.4668331418    2.92518  4.25470   -0.9206  -1.0230  -0.7271
05.5126274004    2.93933  4.25669   -0.9444  -1.0474  -0.7497
05.5584216591    2.95325  4.25862   -0.9679  -1.0714  -0.7721
05.6042159178    2.96709  4.26054   -0.9913  -1.0954  -0.7944
05.6500101765    2.98084  4.26244   -1.0146  -1.1193  -0.8166
05.6958044352    2.99452  4.26432   -1.0379  -1.1430  -0.8388
05.7415986938    3.00812  4.26619   -1.0611  -1.1668  -0.8609
05.7873929525    3.02165  4.26803   -1.0841  -1.1904  -0.8829
05.8331872112    3.03510  4.26986   -1.1072  -1.2139  -0.9049
05.8789814699    3.04848  4.27167   -1.1301  -1.2374  -0.9268
05.9247757285    3.06180  4.27346   -1.1530  -1.2608  -0.9487
05.9705699872    3.07504  4.27524   -1.1758  -1.2842  -0.9705
06.0163642459    3.08815  4.27699   -1.1985  -1.3073  -0.9922
06.0621585046    3.10108  4.27871   -1.2209  -1.3302  -1.0136
06.1079527632    3.11394  4.28041   -1.2432  -1.3531  -1.0350
06.1537470219    3.12674  4.28209   -1.2655  -1.3758  -1.0563
06.1995412806    3.13948  4.28376   -1.2878  -1.3986  -1.0776
06.2453355393    3.15217  4.28541   -1.3100  -1.4212  -1.0989
06.2911297979    3.16482  4.28708   -1.3320  -1.4437  -1.1200
06.3369240566    3.17744  4.28877   -1.3539  -1.4661  -1.1409
06.3827183153    3.18996  4.29039   -1.3759  -1.4885  -1.1620
06.4285125740    3.20243  4.29197   -1.3980  -1.5111  -1.1832
06.4743068326    3.21485  4.29354   -1.4201  -1.5336  -1.2044
06.5201010913    3.22714  4.29508   -1.4420  -1.5559  -1.2254
06.5658953500    3.23928  4.29659   -1.4637  -1.5781  -1.2463
06.6116896087    3.25137  4.29808   -1.4854  -1.6002  -1.2672
06.6574838673    3.26341  4.29956   -1.5071  -1.6223  -1.2880
06.7032781260    3.27540  4.30102   -1.5288  -1.6444  -1.3089
06.7490723847    3.28735  4.30247   -1.5505  -1.6665  -1.3297
06.7948666434    3.29926  4.30389   -1.5721  -1.6886  -1.3506
06.8406609020    3.31113  4.30531   -1.5938  -1.7106  -1.3715
06.8864551607    3.32296  4.30670   -1.6155  -1.7327  -1.3924
06.9322494194    3.33474  4.30809   -1.6371  -1.7548  -1.4132
06.9780436781    3.34649  4.30945   -1.6588  -1.7768  -1.4341
07.0238379367    3.35811  4.31078   -1.6803  -1.7987  -1.4549
07.0696321954    3.36960  4.31209   -1.7017  -1.8205  -1.4756
07.1154264541    3.38105  4.31337   -1.7231  -1.8422  -1.4963
07.1612207128    3.39246  4.31465   -1.7445  -1.8640  -1.5170
07.2070149714    3.40385  4.31590   -1.7659  -1.8858  -1.5377
07.2528092301    3.41520  4.31714   -1.7873  -1.9076  -1.5585
07.2986034888    3.42652  4.31836   -1.8088  -1.9294  -1.5793
07.3443977475    3.43781  4.31957   -1.8303  -1.9513  -1.6001
07.3901920061    3.44908  4.32076   -1.8519  -1.9732  -1.6210
07.4359862648    3.46031  4.32193   -1.8735  -1.9951  -1.6420
